subsecao_id,municipio_id,year
9210.0,8290.0,2018
9210.0,8303.0,2018
9210.0,8354.0,2018
9210.0,8362.0,2018
9210.0,8370.0,2018
9210.0,8419.0,2018
9210.0,8435.0,2018
9210.0,8494.0,2018
9210.0,8516.0,2018
9210.0,8524.0,2018
9210.0,8567.0,2018
9210.0,8583.0,2018
9210.0,8605.0,2018
9210.0,8613.0,2018
9210.0,8630.0,2018
9210.0,8656.0,2018
9210.0,8672.0,2018
9210.0,8699.0,2018
9210.0,8737.0,2018
9210.0,8796.0,2018
9210.0,8818.0,2018
9210.0,8834.0,2018
9210.0,8850.0,2018
9210.0,8893.0,2018
9210.0,8915.0,2018
9210.0,8958.0,2018
9210.0,8974.0,2018
9210.0,8990.0,2018
9210.0,9016.0,2018
9210.0,9032.0,2018
9210.0,9059.0,2018
9210.0,9075.0,2018
9210.0,9091.0,2018
9210.0,9113.0,2018
9210.0,9172.0,2018
9210.0,9210.0,2018
9210.0,9270.0,2018
9210.0,9393.0,2018
9210.0,9415.0,2018
9210.0,9431.0,2018
9210.0,9458.0,2018
9210.0,9474.0,2018
9210.0,9490.0,2018
9210.0,9512.0,2018
9210.0,9555.0,2018
9210.0,9571.0,2018
9210.0,9652.0,2018
9210.0,9679.0,2018
9210.0,9695.0,2018
9210.0,9717.0,2018
10570.0,10219.0,2018
10570.0,10251.0,2018
10570.0,10375.0,2018
10570.0,10570.0,2018
10570.0,10596.0,2018
10570.0,10618.0,2018
10570.0,10634.0,2018
10570.0,10766.0,2018
10570.0,10871.0,2018
10570.0,10880.0,2018
10570.0,11312.0,2018
10570.0,11479.0,2018
10570.0,11517.0,2018
10570.0,11738.0,2018
10570.0,11835.0,2018
10570.0,11851.0,2018
10570.0,12041.0,2018
10570.0,12203.0,2018
10570.0,12300.0,2018
10570.0,12610.0,2018
10774.0,10049.0,2018
10774.0,10154.0,2018
10774.0,10162.0,2018
10774.0,10197.0,2018
10774.0,10200.0,2018
10774.0,10227.0,2018
10774.0,10332.0,2018
10774.0,10553.0,2018
10774.0,10715.0,2018
10774.0,10758.0,2018
10774.0,10774.0,2018
10774.0,10812.0,2018
10774.0,10898.0,2018
10774.0,10979.0,2018
10774.0,11010.0,2018
10774.0,11053.0,2018
10774.0,11118.0,2018
10774.0,11177.0,2018
10774.0,11193.0,2018
10774.0,11339.0,2018
10774.0,11398.0,2018
10774.0,11770.0,2018
10774.0,11797.0,2018
10774.0,11894.0,2018
10774.0,12017.0,2018
10774.0,12025.0,2018
10774.0,12068.0,2018
10774.0,12238.0,2018
10774.0,12289.0,2018
10774.0,12521.0,2018
10774.0,12564.0,2018
10774.0,12599.0,2018
10774.0,12637.0,2018
10774.0,12700.0,2018
11533.0,10065.0,2018
11533.0,10391.0,2018
11533.0,10529.0,2018
11533.0,10537.0,2018
11533.0,10820.0,2018
11533.0,11070.0,2018
11533.0,11134.0,2018
11533.0,11533.0,2018
11533.0,11657.0,2018
11533.0,12009.0,2018
11533.0,12475.0,2018
11533.0,12572.0,2018
11533.0,12670.0,2018
11533.0,12688.0,2018
11533.0,12696.0,2018
11592.0,10022.0,2018
11592.0,10146.0,2018
11592.0,10170.0,2018
11592.0,10359.0,2018
11592.0,10367.0,2018
11592.0,10383.0,2018
11592.0,10480.0,2018
11592.0,10677.0,2018
11592.0,10723.0,2018
11592.0,10782.0,2018
11592.0,10839.0,2018
11592.0,10855.0,2018
11592.0,10936.0,2018
11592.0,10944.0,2018
11592.0,10952.0,2018
11592.0,10995.0,2018
11592.0,11037.0,2018
11592.0,11088.0,2018
11592.0,11290.0,2018
