municipio_id,comarca_id,subsecao_id
10014.0,12092.0,12190.0
10022.0,10855.0,11592.0
10030.0,10030.0,12190.0
10049.0,11770.0,10774.0
10057.0,10057.0,12190.0
10065.0,10391.0,11533.0
10073.0,10073.0,12190.0
10081.0,12114.0,12114.0
10090.0,10090.0,12190.0
10103.0,10510.0,12190.0
10111.0,10111.0,12190.0
10120.0,10235.0,12190.0
10138.0,10138.0,12114.0
10146.0,10367.0,11592.0
10154.0,10154.0,10774.0
10162.0,11053.0,10774.0
10170.0,10170.0,11592.0
10189.0,10073.0,12190.0
10197.0,10197.0,10774.0
10200.0,10715.0,10774.0
10219.0,10219.0,10570.0
10227.0,11398.0,10774.0
10235.0,10235.0,12190.0
10243.0,12114.0,12114.0
10251.0,10871.0,10570.0
10260.0,12114.0,12114.0
10278.0,10278.0,12190.0
10286.0,11550.0,12114.0
10294.0,10294.0,12190.0
10308.0,10111.0,12190.0
10316.0,10316.0,12190.0
10324.0,12211.0,12190.0
10332.0,10332.0,10774.0
10340.0,11991.0,12114.0
10359.0,10359.0,11592.0
10367.0,10367.0,11592.0
10375.0,10375.0,10570.0
10383.0,11037.0,11592.0
10391.0,10391.0,11533.0
10405.0,10278.0,12190.0
10413.0,10413.0,12114.0
10421.0,11550.0,12114.0
10430.0,10430.0,12190.0
10448.0,11916.0,12190.0
10456.0,10456.0,12114.0
10464.0,11398.0,12190.0
10472.0,10472.0,12190.0
10480.0,11592.0,11592.0
10499.0,10499.0,12114.0
10502.0,12114.0,12114.0
10510.0,10510.0,12190.0
10529.0,11657.0,11533.0
10537.0,10537.0,11533.0
10545.0,10430.0,12190.0
10553.0,10553.0,10774.0
10561.0,12114.0,12114.0
10570.0,10570.0,10570.0
10588.0,12114.0,12114.0
10596.0,10596.0,10570.0
10600.0,12270.0,12190.0
10618.0,10618.0,10570.0
10626.0,12157.0,12114.0
10634.0,10634.0,10570.0
10642.0,10456.0,12114.0
10650.0,10650.0,12190.0
10669.0,10235.0,12190.0
10677.0,11592.0,11592.0
10685.0,12114.0,12114.0
10693.0,10693.0,12190.0
10707.0,11991.0,12114.0
10715.0,10715.0,10774.0
10723.0,11037.0,11592.0
10731.0,10731.0,12190.0
10740.0,11690.0,12190.0
10758.0,11010.0,10774.0
10766.0,10375.0,10570.0
10774.0,10774.0,10774.0
10782.0,11592.0,11592.0
10790.0,10790.0,12190.0
10804.0,10499.0,12114.0
10812.0,10197.0,10774.0
10820.0,11533.0,11533.0
10839.0,10839.0,11592.0
10847.0,10138.0,12114.0
10855.0,10855.0,11592.0
10863.0,11576.0,12190.0
10871.0,10871.0,10570.0
10880.0,10219.0,10570.0
10898.0,10898.0,10774.0
10901.0,10057.0,12190.0
10910.0,10030.0,12190.0
10928.0,10430.0,12190.0
10936.0,10936.0,11592.0
10944.0,11592.0,11592.0
10952.0,10952.0,11592.0
10960.0,11991.0,12114.0
10979.0,10979.0,10774.0
10987.0,11215.0,12190.0
10995.0,10995.0,11592.0
11010.0,11010.0,10774.0
11037.0,11037.0,11592.0
11053.0,11053.0,10774.0
11070.0,11070.0,11533.0
11088.0,10359.0,11592.0
11096.0,11096.0,12190.0
11100.0,,
11118.0,11118.0,10774.0
11126.0,,
11134.0,11134.0,11533.0
11142.0,,
11150.0,11150.0,12190.0
11169.0,,
11177.0,11177.0,10774.0
11185.0,,
11193.0,11193.0,10774.0
11207.0,,
11215.0,11215.0,12190.0
11223.0,,
11231.0,11231.0,12190.0
11240.0,,
11258.0,11274.0,12190.0
11266.0,,
11274.0,11274.0,12190.0
11282.0,,
11290.0,10839.0,11592.0
11304.0,,
11312.0,11312.0,10570.0
11320.0,,
11339.0,11339.0,10774.0
11347.0,,
11355.0,11355.0,12190.0
11363.0,,
