cod_item,cod_item_pai,nome,situacao,dat_versao,dsc_caminho_completo
1301,1198,Reclamação Disciplinar,A,2025-09-11 16:34:41,
1303,1198,Correição Extraordinária,A,2025-09-11 16:34:41,
1304,1198,Inspeção,A,2025-09-11 16:34:41,
1306,1198,Recurso em Processo Administrativo Disciplinar em face de Servidor,A,2025-09-11 16:34:41,
1307,1198,Correição Ordinária,A,2025-09-11 16:34:41,
1308,1198,Sindicância,A,2025-09-11 16:34:41,
1310,,SUPREMO TRIBUNAL FEDERAL,A,2025-09-11 16:34:41,
1311,1310,Ação Cautelar,A,2025-09-11 16:34:41,
1312,1310,Ação  Originária,A,2025-09-11 16:34:41,
1313,1310,Ação Declaratória de Constitucionalidade,A,2025-09-11 16:34:41,
1314,1310,Ação Direta de Inconstitucionalidade,A,2025-09-11 16:34:41,
1315,1310,Ação Cível Originária,A,2025-09-11 16:34:41,
1316,1310,Ação Originária Especial,A,2025-09-11 16:34:41,
1317,1310,Ação Penal,A,2025-09-11 16:34:41,
1318,1310,Ação Rescisória,A,2025-09-11 16:34:41,
1319,1310,Agravo Interno,I,2025-09-11 16:34:41,
1320,1310,Agravo de Instrumento,A,2025-09-11 16:34:41,
1321,1310,Agravo Regimental,A,2025-09-11 16:34:41,
1322,1310,Arguição de Descumprimento de Preceito Fundamental,A,2025-09-11 16:34:41,
1323,1310,Arguição de Suspeição,A,2025-09-11 16:34:41,
1324,1310,Carta Rogatória,I,2025-09-11 16:34:41,
1325,1310,Comunicação,A,2025-09-11 16:34:41,
1326,1310,Conflito de Competência,A,2025-09-11 16:34:41,
1327,1310,Embargos de Declaração,A,2025-09-11 16:34:41,
1328,1310,Embargos Divergentes,A,2025-09-11 16:34:41,
1329,1310,Embargos Infringentes,A,2025-09-11 16:34:41,
1330,1310,Extradição,A,2025-09-11 16:34:41,
1331,1310,Habeas Corpus,A,2025-09-11 16:34:41,
1332,1310,Habeas Data,A,2025-09-11 16:34:41,
1333,1310,Inquerito,A,2025-09-11 16:34:41,
1334,1310,Intervenção Federal,A,2025-09-11 16:34:41,
1335,1310,Mandado de Injunção,A,2025-09-11 16:34:41,
1336,1310,Mandado de Segurança,A,2025-09-11 16:34:41,
