comarca_id,municipio_id,year
71838.0,71838.0,1938
71838.0,71978.0,1938
71919.0,63312.0,1938
71919.0,63479.0,1938
71919.0,71919.0,1938
72095.0,72095.0,1938
72273.0,66311.0,1938
72273.0,72273.0,1938
19.0,19.0,2018
19.0,434.0,2018
35.0,35.0,2018
35.0,477.0,2018
35.0,493.0,2018
51.0,51.0,2018
51.0,370.0,2018
51.0,396.0,2018
51.0,515.0,2018
51.0,698.0,2018
78.0,78.0,2018
78.0,620.0,2018
78.0,639.0,2018
78.0,647.0,2018
78.0,663.0,2018
78.0,680.0,2018
94.0,94.0,2018
116.0,116.0,2018
116.0,710.0,2018
116.0,728.0,2018
132.0,132.0,2018
132.0,809.0,2018
159.0,159.0,2018
159.0,590.0,2018
159.0,612.0,2018
175.0,175.0,2018
175.0,558.0,2018
175.0,574.0,2018
175.0,744.0,2018
175.0,752.0,2018
191.0,191.0,2018
191.0,531.0,2018
213.0,213.0,2018
213.0,256.0,2018
213.0,795.0,2018
230.0,230.0,2018
230.0,450.0,2018
272.0,272.0,2018
272.0,604.0,2018
272.0,655.0,2018
272.0,787.0,2018
299.0,299.0,2018
299.0,353.0,2018
299.0,701.0,2018
418.0,418.0,2018
418.0,582.0,2018
779.0,671.0,2018
779.0,779.0,2018
1007.0,1007.0,2018
1015.0,1015.0,2018
1023.0,1023.0,2018
1031.0,1031.0,2018
1040.0,1040.0,2018
1058.0,1058.0,2018
1066.0,1066.0,2018
1074.0,1074.0,2018
1082.0,1082.0,2018
1090.0,1090.0,2018
1104.0,1104.0,2018
1112.0,1112.0,2018
1120.0,1120.0,2018
1139.0,1139.0,2018
1392.0,1392.0,2018
1457.0,1457.0,2018
1473.0,1473.0,2018
1490.0,1490.0,2018
1511.0,1511.0,2018
1538.0,1538.0,2018
1554.0,1554.0,2018
1570.0,1570.0,2018
2003.0,2003.0,2018
2011.0,2011.0,2018
2020.0,2020.0,2018
2038.0,2038.0,2018
2046.0,2046.0,2018
2054.0,2054.0,2018
2070.0,2070.0,2018
2097.0,2097.0,2018
2119.0,2119.0,2018
2135.0,2135.0,2018
2151.0,2151.0,2018
2178.0,2178.0,2018
2194.0,2194.0,2018
2216.0,2216.0,2018
2232.0,2232.0,2018
2259.0,2259.0,2018
2275.0,2275.0,2018
2291.0,2291.0,2018
2313.0,2313.0,2018
2330.0,2330.0,2018
2356.0,2356.0,2018
2372.0,2372.0,2018
2399.0,2399.0,2018
2410.0,2410.0,2018
2437.0,2437.0,2018
2453.0,2453.0,2018
2470.0,2470.0,2018
2496.0,2496.0,2018
2518.0,2518.0,2018
2534.0,2534.0,2018
2550.0,2550.0,2018
2577.0,2577.0,2018
2593.0,2593.0,2018
2615.0,2615.0,2018
2631.0,2631.0,2018
2658.0,2658.0,2018
2674.0,2674.0,2018
2690.0,2690.0,2018
2712.0,2712.0,2018
2739.0,2739.0,2018
2739.0,98515.0,2018
2755.0,2755.0,2018
2755.0,2917.0,2018
2771.0,2771.0,2018
2798.0,2798.0,2018
2810.0,2810.0,2018
2836.0,2836.0,2018
2852.0,2852.0,2018
2879.0,2879.0,2018
2895.0,2895.0,2018
2933.0,2933.0,2018
