comarca_id,comarca,tribunal,estado_id,estado,n_municipios,entrancia,juizes
205,amambai,TJMS,12.0,MS,2.0,,
206,anastacio,TJMS,12.0,MS,1.0,,
207,anaurilandia,TJMS,12.0,MS,1.0,,
208,angelica,TJMS,12.0,MS,1.0,,
209,aparecida do taboado,TJMS,12.0,MS,1.0,,
210,aquidauana,TJMS,12.0,MS,1.0,,
211,bandeirantes,TJMS,12.0,MS,2.0,,
212,bataguassu,TJMS,12.0,MS,2.0,,
213,bataypora,TJMS,12.0,MS,2.0,,
214,bela vista,TJMS,12.0,MS,2.0,,
215,bonito,TJMS,12.0,MS,1.0,,
216,brasilandia,TJMS,12.0,MS,1.0,,
217,caarapo,TJMS,12.0,MS,2.0,,
218,camapua,TJMS,12.0,MS,2.0,,
219,campo grande,TJMS,12.0,MS,1.0,,
220,cassilandia,TJMS,12.0,MS,1.0,,
221,chapadao do sul,TJMS,12.0,MS,1.0,,
222,corumba,TJMS,12.0,MS,2.0,,
223,costa rica,TJMS,12.0,MS,1.0,,
224,coxim,TJMS,12.0,MS,2.0,,
225,deodapolis,TJMS,12.0,MS,1.0,,
226,dois irmaos do buriti,TJMS,12.0,MS,1.0,,
227,dourados,TJMS,12.0,MS,2.0,,
228,eldorado,TJMS,12.0,MS,1.0,,
229,fatima do sul,TJMS,12.0,MS,3.0,,
230,gloria de dourados,TJMS,12.0,MS,1.0,,
231,iguatemi,TJMS,12.0,MS,2.0,,
232,inocencia,TJMS,12.0,MS,1.0,,
233,itapora,TJMS,12.0,MS,2.0,,
234,itaquirai,TJMS,12.0,MS,1.0,,
235,ivinhema,TJMS,12.0,MS,2.0,,
236,jardim,TJMS,12.0,MS,2.0,,
237,maracaju,TJMS,12.0,MS,1.0,,
238,miranda,TJMS,12.0,MS,2.0,,
239,mundo novo,TJMS,12.0,MS,2.0,,
240,navirai,TJMS,12.0,MS,1.0,,
241,nioaque,TJMS,12.0,MS,1.0,,
242,nova alvorada do sul,TJMS,12.0,MS,1.0,,
243,nova andradina,TJMS,12.0,MS,1.0,,
244,pedro gomes,TJMS,12.0,MS,1.0,,
245,ponta pora,TJMS,12.0,MS,3.0,,
246,porto murtinho,TJMS,12.0,MS,1.0,,
247,ribas do rio pardo,TJMS,12.0,MS,1.0,,
248,rio brilhante,TJMS,12.0,MS,1.0,,
249,rio negro,TJMS,12.0,MS,3.0,,
250,rio verde de mato grosso,TJMS,12.0,MS,1.0,,
251,sao gabriel do oeste,TJMS,12.0,MS,1.0,,
252,sete quedas,TJMS,12.0,MS,2.0,,
253,sidrolandia,TJMS,12.0,MS,1.0,,
254,sonora,TJMS,12.0,MS,1.0,,
255,terenos,TJMS,12.0,MS,1.0,,
256,tres lagoas,TJMS,12.0,MS,2.0,,
257,abaete,TJMG,13.0,MG,3.0,1.0,2.0
258,abrecampo,TJMG,13.0,MG,6.0,1.0,2.0
259,acucena,TJMG,13.0,MG,3.0,1.0,1.0
260,aguas formosas,TJMG,13.0,MG,6.0,1.0,1.0
261,aimores,TJMG,13.0,MG,1.0,1.0,1.0
262,aiuruoca,TJMG,13.0,MG,7.0,1.0,2.0
263,alem paraiba,TJMG,13.0,MG,3.0,2.0,3.0
264,alfenas,TJMG,13.0,MG,2.0,2.0,8.0
265,almenara,TJMG,13.0,MG,4.0,2.0,4.0
266,alpinopolis,TJMG,13.0,MG,2.0,1.0,2.0
267,alto rio doce,TJMG,13.0,MG,2.0,1.0,1.0
268,alvinopolis,TJMG,13.0,MG,3.0,1.0,1.0
269,andradas,TJMG,13.0,MG,2.0,2.0,3.0
270,andrelandia,TJMG,13.0,MG,6.0,1.0,1.0
271,aracuai,TJMG,13.0,MG,5.0,2.0,2.0
272,araguari,TJMG,13.0,MG,1.0,2.0,12.0
273,araxa,TJMG,13.0,MG,2.0,2.0,8.0
274,arcos,TJMG,13.0,MG,2.0,1.0,2.0
275,areado,TJMG,13.0,MG,2.0,1.0,1.0
276,arinos,TJMG,13.0,MG,5.0,1.0,2.0
277,baependi,TJMG,13.0,MG,1.0,1.0,2.0
278,bambui,TJMG,13.0,MG,3.0,1.0,1.0
279,barao de cocais,TJMG,13.0,MG,2.0,1.0,2.0
280,barbacena,TJMG,13.0,MG,12.0,3.0,10.0
281,barroso,TJMG,13.0,MG,1.0,1.0,1.0
282,belo horizonte,TJMG,13.0,MG,1.0,3.0,264.0
283,belo vale,TJMG,13.0,MG,2.0,1.0,1.0
284,betim,TJMG,13.0,MG,1.0,3.0,25.0
285,bicas,TJMG,13.0,MG,4.0,1.0,1.0
286,boa esperanca,TJMG,13.0,MG,3.0,2.0,3.0
287,bocaiuva,TJMG,13.0,MG,5.0,2.0,3.0
288,bom despacho,TJMG,13.0,MG,2.0,2.0,2.0
289,bom sucesso,TJMG,13.0,MG,2.0,1.0,1.0
290,bonfim,TJMG,13.0,MG,4.0,1.0,1.0
291,bonfinopolis de minas,TJMG,13.0,MG,3.0,1.0,1.0
292,borda da mata,TJMG,13.0,MG,2.0,1.0,1.0
293,botelhos,TJMG,13.0,MG,1.0,1.0,1.0
294,brasilia de minas,TJMG,13.0,MG,6.0,1.0,2.0
295,brazopolis,TJMG,13.0,MG,2.0,1.0,1.0
296,brumadinho,TJMG,13.0,MG,1.0,2.0,2.0
297,bueno brandao,TJMG,13.0,MG,2.0,1.0,1.0
298,buenopolis,TJMG,13.0,MG,3.0,1.0,1.0
299,buritis,TJMG,13.0,MG,2.0,1.0,2.0
300,cabo verde,TJMG,13.0,MG,2.0,1.0,1.0
301,cachoeira de minas,TJMG,13.0,MG,1.0,1.0,1.0
302,caete,TJMG,13.0,MG,3.0,2.0,3.0
303,caldas,TJMG,13.0,MG,1.0,1.0,1.0
304,camanducaia,TJMG,13.0,MG,2.0,1.0,2.0
305,cambui,TJMG,13.0,MG,4.0,2.0,4.0
306,cambuquira,TJMG,13.0,MG,1.0,1.0,1.0
307,campanha,TJMG,13.0,MG,2.0,1.0,1.0
308,campestre,TJMG,13.0,MG,2.0,1.0,1.0
309,campina verde,TJMG,13.0,MG,1.0,1.0,1.0
310,campo belo,TJMG,13.0,MG,4.0,2.0,6.0
311,campos altos,TJMG,13.0,MG,2.0,1.0,1.0
312,campos gerais,TJMG,13.0,MG,2.0,1.0,2.0
313,canapolis,TJMG,13.0,MG,2.0,1.0,1.0
314,candeias,TJMG,13.0,MG,1.0,1.0,1.0
315,capelinha,TJMG,13.0,MG,2.0,1.0,2.0
316,capinopolis,TJMG,13.0,MG,3.0,1.0,1.0
317,carandai,TJMG,13.0,MG,3.0,1.0,1.0
318,carangola,TJMG,13.0,MG,4.0,2.0,3.0
319,caratinga,TJMG,13.0,MG,8.0,2.0,7.0
320,carlos chagas,TJMG,13.0,MG,1.0,1.0,1.0
321,carmo da mata,TJMG,13.0,MG,1.0,1.0,1.0
322,carmo de minas,TJMG,13.0,MG,2.0,1.0,1.0
323,carmo do cajuru,TJMG,13.0,MG,1.0,1.0,1.0
324,carmo do paranaiba,TJMG,13.0,MG,1.0,1.0,2.0
325,carmo do rio claro,TJMG,13.0,MG,2.0,1.0,2.0
326,carmopolis de minas,TJMG,13.0,MG,1.0,1.0,1.0
327,cassia,TJMG,13.0,MG,3.0,2.0,2.0
328,cataguases,TJMG,13.0,MG,5.0,2.0,8.0
329,caxambu,TJMG,13.0,MG,2.0,1.0,2.0
330,claudio,TJMG,13.0,MG,1.0,1.0,2.0
331,conceicao das alagoas,TJMG,13.0,MG,2.0,1.0,2.0
332,conceicao do mato dentro,TJMG,13.0,MG,4.0,1.0,1.0
333,conceicao do rio verde,TJMG,13.0,MG,1.0,1.0,1.0
334,congonhas,TJMG,13.0,MG,1.0,2.0,2.0
335,conquista,TJMG,13.0,MG,1.0,1.0,1.0
336,conselheiro lafaiete,TJMG,13.0,MG,9.0,3.0,11.0
337,conselheiro pena,TJMG,13.0,MG,5.0,1.0,2.0
338,contagem,TJMG,13.0,MG,1.0,3.0,43.0
339,coracao de jesus,TJMG,13.0,MG,5.0,1.0,1.0
340,corinto,TJMG,13.0,MG,2.0,1.0,2.0
341,coromandel,TJMG,13.0,MG,2.0,1.0,2.0
342,coronel fabriciano,TJMG,13.0,MG,2.0,3.0,6.0
343,cristina,TJMG,13.0,MG,2.0,1.0,1.0
344,cruzilia,TJMG,13.0,MG,2.0,1.0,1.0
345,curvelo,TJMG,13.0,MG,5.0,2.0,6.0
346,diamantina,TJMG,13.0,MG,9.0,2.0,4.0
347,divino,TJMG,13.0,MG,2.0,1.0,1.0
348,divinopolis,TJMG,13.0,MG,1.0,3.0,18.0
349,dores do indaia,TJMG,13.0,MG,3.0,1.0,2.0
