name,ll
sa,-8.02077415785262
ltdame,-8.021960163131
lucas,-8.02830939080965
medico,-8.03229822737089
patricia,-8.04153338636255
mario,-8.04234048890839
renata,-8.04274428459326
informacao,-8.05004062827176
carla,-8.05248462134164
simone,-8.05452585495507
embratel,-8.05616184714
matos,-8.05944188288105
queiroz,-8.05985264485027
m,-8.06355711502616
resende,-8.06520796145969
macae,-8.0814481684825
dutra,-8.08228815173222
torres,-8.084391201929
amil,-8.08481234322813
gracas,-8.085233661961981
joaquim,-8.086076832332338
duque,-8.09030338131223
ensino,-8.09199901546161
aparecido,-8.09539893373883
moveis,-8.10094857444963
pecas,-8.10309127936199
frio,-8.103949648513401
varejista,-8.103949648513401
guilherme,-8.10782145373739
couto,-8.10825258114221
vinicius,-8.10954707970486
roupas,-8.116914393634561
amorim,-8.11909162070843
motta,-8.11952763553984
s,-8.119963840563111
marinho,-8.12258507404299
caxias,-8.13535214158021
itaperuna,-8.135795305779789
sao,-8.14068311822139
alimentos,-8.14157438387754
equipamentos,-8.14291277354866
eliane,-8.14335930179899
farias,-8.14918238656225
a,-8.15188144353142
materiais,-8.1559437375403
adriano,-8.15775451214101
lemos,-8.16138592784298
hospital,-8.16138592784298
investimentos,-8.16457427032984
multiplo,-8.17098161490484
rezende,-8.17281985071659
imobiliarios,-8.17466147186324
escola,-8.17466147186324
real,-8.175583555838209
volkswagen,-8.17650649083681
gabriel,-8.178817561890861
guimaraes,-8.178817561890861
juliana,-8.17928041771953
niteroi,-8.180670272008589
peixoto,-8.18113398636886
rosangela,-8.18485146276899
correia,-8.18531712051896
ii,-8.1857829952071
cristiane,-8.18624908703563
robson,-8.18718192292417
,-8.18858281038185
fluminense,-8.19655845669449
jardim,-8.19655845669449
wilson,-8.19702959922382
gustavo,-8.19797255073169
lucia,-8.20033382691737
se,-8.20175327357159
certifico,-8.20175327357159
mp,-8.20222687054942
pessoa,-8.20364900873649
utilidades,-8.20602374269505
muniz,-8.20697521755274
mota,-8.20983508604151
antunes,-8.20983508604151
agua,-8.21031252696726
petropolis,-8.210790195951741
sa,-8.214140282837029
alex,-8.22087431501837
pimentel,-8.22135705700216
angela,-8.22280668276942
nenhuma,-8.22765400200375
mauricio,-8.23057371210708
aline,-8.2359487555879
publica,-8.23938434178924
cnpj,-8.24431288799039
oswaldo,-8.24976249275795
,-8.25025938717811
linhas,-8.25075652862509
mauro,-8.25125391734462
caixa,-8.25424345619299
santos,-8.25474258273193
idoso,-8.25624145885566
rogerio,-8.25774258498193
marlene,-8.25924596787596
prioridade,-8.2602494802532
chaves,-8.26125400067921
autos,-8.26175663954377
grupo,-8.26225953118122
lider,-8.26326607379263
bezerra,-8.26477778987795
franca,-8.267302406215089
industrial,-8.27034038323516
sergio,-8.27338761769063
magalhaes,-8.28773212594703
niteroi,-8.29031543918941
nelson,-8.29238690549201
lourenco,-8.299671016783
baptista,-8.299671016783
botafogo,-8.30385731279732
recuperacao,-8.305431703046429
maciel,-8.31175416878592
multiplo,-8.31228284973929
domingos,-8.31864891898428
editora,-8.32291559212366
alessandra,-8.32452029960896
vanessa,-8.325591536990451
construcoes,-8.32612758631983
vale,-8.326663923152209
gilberto,-8.3288121516905
npl,-8.3293499306763
net,-8.33420300032537
credito,-8.33528466619611
omni,-8.33690936192312
sampaio,-8.3374515142812
franco,-8.3374515142812
spe,-8.34071061548211
habitacional,-8.34452637372323
posto,-8.34507267256228
wagner,-8.35110173987962
seguridade,-8.35165164366032
andrea,-8.35495743179482
chagas,-8.35606179413787
,-8.35993669519443
morais,-8.36215768444721
fixo,-8.362713703366179
diniz,-8.3638266695356
gerais,-8.36997022418401
celia,-8.3710913005346
freire,-8.373337230731911
disponivel,-8.373899502323889
outro,-8.37784428061491
vasconcelos,-8.38350680990154
r,-8.38464317366019
carolina,-8.38464317366019
ponto,-8.38977285148018
candido,-8.39148860826369
flavio,-8.3920611819982
francisca,-8.39607840404346
celso,-8.39953462868214
agua,-8.40068936322153
pessanha,-8.40126723090592
salgado,-8.402423969033741
eletronico,-8.402423969033741
guedes,-8.40474146717411
global,-8.407064348590241
bernardo,-8.40881005750027
benedito,-8.41055881924002
oficial,-8.41289526890104
itauleasing,-8.41582352868013
penha,-8.41876038835344
movel,-8.41993755152645
luz,-8.42052665316352
caetano,-8.425844243241839
oliveira,-8.42762307561128
eireli,-8.4311902613202
jo,-8.43417266734832
elaine,-8.43836303564695
globex,-8.4395635159832
consorcio,-8.44196880878445
por,-8.4437765827025
mesquita,-8.4437765827025
rn,-8.44498358345254
diego,-8.449219595838139
goncalo,-8.44982620792833
elizabeth,-8.45530233965391
j,-8.463880823633911
marins,-8.4694346793167
beneficios,-8.4694346793167
sales,-8.47191299533117
rogerio,-8.47315446041924
solange,-8.47564202389104
fabiano,-8.47813579076944
sc,-8.48126177018273
terezinha,-8.48126177018273
em,-8.48314205904758
eletronico,-8.48314205904758
beatriz,-8.48565462318347
no,-8.49449864797992
serra,-8.49895016566471
judicial,-8.49895016566471
cassia,-8.500864041847
sueli,-8.50534404933997
fabiana,-8.50984421765458
angra,-8.512424864248072
itapeva,-8.515660066034581
felix,-8.51825578455886
departamento,-8.51825578455886
consultoria,-8.52412090401126
informatica,-8.529363379976111
autonomo,-8.53067830455742
souza,-8.53265393904921
,-8.5379414596299
isabel,-8.539931510037901
paulista,-8.539931510037901
no,-8.539931510037901
tecnologia,-8.54059574121477
raimundo,-8.54192552864477
luzia,-8.543257086764282
gama,-8.54525775432058
educacao,-8.549941603633009
aos,-8.549941603633009
safra,-8.55195570300471
fazenda,-8.55397386716094
victor,-8.55734655163958
