classe_id,classe,classe_accents,classe_sigla
15,ACAO ORDINARIA REGRESSIVA,Ação Ordinária Regressiva,AOR
47,AGRAVO DE PETICAO,Agravo de Petição,AP
20,ACAO PENAL ELEITORAL,Ação Penal Eleitoral,AP
18,ACAO PENAL,Ação Penal,APN
22,ACAO PENAL PROCEDIMENTO ORDINARIO,Ação Penal - Procedimento Ordinário,APN
25,ACAO POPULAR,Ação Popular,APop
89,AUTO DE PRISAO,Auto de Prisão,APri
27,ACAO RESCISORIA,Ação Rescisória,AR
0,ABERTURA REGISTRO E CUMPRIMENTO DE TESTAMENTO,"Abertura, Registro e Cumprimento de Testamento",ARCT
474,RECURSO EXTRAORDINARIO COM AGRAVO,Recurso Extraordinário com Agravo,ARE
461,RECURSO DE REVISTA COM AGRAVO,Recurso de Revista com Agravo,ARR
49,AGRAVO EM RECURSO ESPECIAL,Agravo em Recurso Especial,AResp
26,ACAO REGRESSIVA,Ação Regressiva,ARg
74,ARGUICAO DE RELEVANCIA,Arguição de Relevância,ARv
75,ARGUICAO DE SUSPEICAO,Arguição de Suspeição,AS
61,ANULACAO E SUBSTITUICAO DE TITULOS AO PORTADOR,Anulação e Substituição de Títulos ao Portador,ASTP
34,ADOCAO CC DESTITUICAO DO PODER FAMILIAR,Adoção c/c Destituição do Poder Familiar,AdoDPF
33,ADOCAO,Adoção,Adocao
35,ADVERTENCIA,Advertência ,Advert
36,AGRAVO,Agravo,Ag
50,AGRAVO INTERNO,Agravo Interno,Ag
48,AGRAVO EM EXECUCAO DE MEDIDAS SOCIOEDUCATIVAS,Agravo em Execução de Medidas Sócio-Educativas,AgExMSe
37,AGRAVO DE EXECUCAO PENAL,Agravo de Execução Penal,AgExPe
51,AGRAVO REGIMENTAL,Agravo Regimental,AgR
55,ALIMENTOS LEI ESPECIAL No 547868,Alimentos - Lei Especial Nº 5.478/68,AlEsp
54,ALIENACAO JUDICIAL DE BENS,Alienação Judicial de Bens,AlJuBe
57,ALTERACAO DO REGIME DE BENS,Alteração do Regime de Bens,AlReBe
56,ALIMENTOS PROVISIONAIS,Alimentos - Provisionais,AliPro
53,ALIENACAO DE BENS DO ACUSADO,Alienação de Bens do Acusado,AlienBAc
59,ALVARA JUDICIAL LEI 685880,Alvará Judicial - Lei 6858/80,AlvJud
58,ALVARA JUDICIAL,Alvará Judicial,Alvará
60,ANISTIA,Anistia,Anisti
62,APELACAO,Apelação,Ap
65,APELACAO EM MANDADO DE SEGURANCA,Apelação em Mandado de Segurança,ApMS
21,ACAO PENAL MILITAR PROCEDIMENTO ORDINARIO,Ação Penal Militar - Procedimento Ordinário,Apn
67,APREENSAO DE EMBARCACOES,Apreensão de Embarcações,AprEmb
68,APREENSAO DE TITULOS,Apreensão de  Títulos,AprTit
77,ARRECADACAO DAS COISAS VAGAS,Arrecadação das Coisas Vagas,ArCoVa
265,INCIDENTE DE ARGUICAO DE INCONSTITUCIONALIDADE,Incidente De Arguição de Inconstitucionalidade,ArgInc
82,ARROLAMENTO DE BENS,Arrolamento de Bens,ArrBen
81,ARROLAMENTO COMUM,Arrolamento Comum,ArrCom
80,ARRIBADAS FORCADAS,Arribadas Forçadas,ArrFor
83,ARROLAMENTO SUMARIO,Arrolamento Sumário,ArrSum
78,ARRESTO,Arresto ,Arrest
84,ASSISTENCIA JUDICIARIA,Assistência Judiciária,AssJud
85,ATENTADO,Atentado,Atent
86,ATO NORMATIVO,Ato Normativo,Ato
88,AUTO DE APREENSAO EM FLAGRANTE,Auto de Apreensão em Flagrante,AuApFl
90,AUTO DE PRISAO EM FLAGRANTE,Auto de Prisão em Flagrante,AuPrFl
92,AVALIACAO PARA ATESTAR DEPENDENCIA DE DROGAS,Avaliação para atestar dependência de drogas,AvalDep
93,AVARIAS,Avarias,Avaria
94,AVERIGUACAO DE PATERNIDADE,Averiguação de Paternidade,AvePat
95,AVOCATORIA,Avocatória,Avocat
98,BUSCA E APREENSAO EM ALIENACAO FIDUCIARIA,Busca e Apreensão em Alienação Fiduciária,BAAF
96,BOLETIM DE OCORRENCIA CIRCUNSTANCIADA,Boletim de Ocorrência Circunstanciada,BoOcCi
97,BUSCA E APREENSAO,Busca e Apreensão,BusApr
125,CONFLITO DE ATRIBUICAO,Conflito de atribuição,CA
126,CONFLITO DE ATRIBUICOES,Conflito de Atribuições,CA
101,CARTA ARBITRAL,Carta Arbitral,CARTARB
127,CONFLITO DE COMPETENCIA,Conflito de competência,CC
120,COBRANCA DE CEDULA DE CREDITO INDUSTRIAL,Cobrança de Cédula de Crédito Industrial,CCCI
148,CRIMES DE CALUNIA INJURIA E DIFAMACAO DE COMPETENCIA DO JUIZ SINGULAR,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",CCIDCJS
145,CRIMES CONTRA A PROPRIEDADE IMATERIAL,Crimes Contra a Propriedade Imaterial,CCPI
146,CRIMES CONTRA A PROPRIEDADE INDUSTRIAL,Crimes Contra a Propriedade Industrial,CCPI
147,CRIMES CONTRA A PROPRIEDADE INTELECTUAL,Crimes Contra a Propriedade Intelectual,CCPI
128,CONFLITO DE JURISDICAO,Conflito de Jurisdição,CJ
133,CONTESTACAO EM FORO DIVERSO,Contestação em Foro Diverso,CONTFORODIV
134,CONTRAPROTESTO JUDICIAL,Contraprotesto Judicial,CProt
111,CARTA ROGATORIA,Carta Rogatória,CR
150,CRIMES DE RESPONSABILIDADE DOS FUNCIONARIOS PUBLICOS,Crimes de Responsabilidade dos Funcionários Públicos,CRFP
100,CANCELAMENTO DE REGISTRO DE PARTIDO POLITICO,Cancelamento de Registro de Partido Político,CRPP
137,CONVERSAO DE SEPARACAO JUDICIAL EM DIVORCIO,Conversão de Separação Judicial em Divórcio,CSJD
